ResourceID,Anglicized name,Identification Number,Name in Devanagari,Name in Roman (with diacritical marks)
00fd72ab-5246-418e-b001-825a2f227a57,Pakah Phalcha,LAL4318,पाकः फल्चा ।। LAL4318,Pākaḥ Phalcā
01610bbc-5297-47cf-9164-9fa4f72a15a8,Matakhya Sikharakut Chaitya ,KIR0013, मातख्य: शिखरकूट चैत्य ll KIR0013 ,Mātakhyaḥ Śikharakūṭa Caitya (probably built in 1746 CE)
017a4a8f-b183-4e57-9ff9-54ae1145378f,,LAL1870,उमामहेश्वर मन्दिर ।। LAL1870,Umāmaheśvara Mandira
01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Narayan Mandir,LAL2500,नारायण मन्दिर ।। LAL2500,Nārāyaṇa Mandira (believed to built during the Licchavi Period)
01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,P-250,,
01de2008-1b9b-41d9-821a-b1eb6693db80,Lavahala Phalcha,LAL4128,ल्वहंलँ फल्चा || LAL4128,Lvahãlã Phalcā (1795 CE)
01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Tukam Bahah,KAT0820,तुकं बाहाः चैत्य ।। KAT0820,Tukaṃ Bāhāḥ Caitya (built sometime from 3rd-9th cent.)
02509f50-336d-423f-ac40-60dffc2d905c,Bhindya Baha,LAL1880,भिन्द्यः बाहाः || LAL1880,Bhindyaḥ Bāhāḥ (constructed in 1715 CE)
02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Narayan,LAL1420,नारायण मन्दिर || LAL1420,Nārāyaṇa Mandira at Kulimā (ca. 19th century CE)
03ab0902-61c8-4458-8eee-f23e345d9372,Neuta Phalcha,LAL4127,नेउत फल्चा ll LAL4127,Neuta Phalcā
04131d60-5463-4795-b4ae-f16ccdeb0d7b,,,,
0426294d-ffe2-4142-b167-1e17296e6a21,,,BKT0061,Hariśaṅkara Mandira
04552c7a-8f05-424d-8cf2-e06081500a78,,,,
049dc399-08e2-47c4-85b9-e66851694e69,Vasu Baha,LAL2400,वसु बाहा: ।। LAL2400,Vasu Bāhāḥ (built around 1938 CE)
049dc399-08e2-47c4-85b9-e66851694e69,,P-240,,
04e62546-0b04-41d7-9651-12189c45e5c6,Sankata Ilanani,LAL1090,संङ्कटा इलाननि ।। LAL1090,Saṅkaṭā Ilānani
054498ec-d633-11e9-beea-0242ac140006,Micchu Baha,LAL1100,मिच्छु बाहाः |*| LAL1100,Micchu Bāhāḥ  (built before 1661 CE) 
05e2a35c-e8d5-11e9-8bc4-0242ac130002,Nrityesvara,LAL0910,नृत्येश्वर || LAL0910,Nṛtyeśvara Mandira (1829 CE)
0687a32c-e7e8-11e9-8bc4-0242ac130002,Nuga Phalca,LAL4054,नुगः फल्चा ३ || LAL4045,Nugaḥ Phalcā 3
068cb560-e748-11e9-b125-0242ac130002,Thyaka Baha,LAL0901,थ्याका बाहाः || LAL0901,Thyākā Bāhāḥ (1895 CE)
06a4360c-e5ec-11e9-b125-0242ac130002,Dupat Chapa,LAL4076,दुपाः चपाः || LAL4076,Dupāt Capāḥ (1670 CE)
06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Bhimsen Mandir,KAT0920 ,भीमसेन मन्दिर || KAT0920 ,Bhīmasena Mandira (built in 1564 CE)
0706813a-e81d-11e9-8bc4-0242ac130002,Bhelachhen Phalcha,LAL4146,भेलाछेँ फल्चा || LAL4146,Bhelāchẽ Phalcā (1823 CE)
0826cd5e-f3e4-11e9-a3c8-0242ac130002,Jena Baha,LAL0260,जेन बाहा: |*| LAL0260,Jena Bāhāḥ (ca. 15th cent. CE)
08473132-9181-44fe-8412-4d89e5dd27e4,Uttarganga Pillar,SRK0041,उत्तरगङ्गा खम्ब || SRK0041,Uttaragaṅgā Pillar
09670bee-ec13-11e9-b125-0242ac130002,Ubaha Bahi,LAL2280,उबाहा: बही || LAL2280,Ubāhāḥ Bahī (before 1391 CE)
099d312a-d5a9-40b1-9144-91b28545912d,Koligaon Fountain,KLK0180,कोलिगाँउ दर || KLK0180,Koligāũ Fountain
09adaf39-4932-4356-b6d1-3cce3af16e82,Bhurti Ekledevala 2,DLK0011,भुर्टी एक्लेडेवल २ || DLK0011,Bhurtī Ekledevala 2
09cff614-e084-49eb-9fd7-7e4eb20cd37d,Vira Vinayaka,BAL0006,वीर विनायक मन्दिर ll BAL0006,VĪra Vināyaka Mandira (late 19th cent.)
0a5850e6-17f9-11ea-b9b1-0242ac130002,Hiti (Stepwell),BUN0007,हिति || BUN0007,Hiti
0aa65aef-7a50-4942-9e17-f6e077dbb14a,Kalika Malika Mandira,MUG0010,कालिका मालिका मन्दिर || MUG0010,Kālikā Mālikā Mandira (built between thirteenth and fifteenth century)
0b26d633-56f8-4872-859c-76d7f7c0677d,Unacha Bhajubal Bahah,LAL0861,उनच भाजुबल बाहा: ।। LAL0861,Unaca Bhājubala Bāhāḥ
0b6871b6-44e1-45f4-9074-005d6e68a28e,Arithay Inay Phalca,KIR4021,आरीथाय् इनाय् फल्चा ll KIR4021 ,Ārīthāy Ināy Phalcā (1819 CE)
0b875a50-e754-11e9-b125-0242ac130002,Shankhadhar Bahal,LAL1700,शंखधर बाहा: || LAL1700,Śaṅkhadhara Bāhāḥ (1868 CE)
0bb01539-043b-4538-a59f-132ef7bd578d,Lekhgaun Pillar,SRK0070,लेखगाउँ खम्बा || SRK0070,Lekhagāũ Pillar (~13th-15th cen.)
0be328fe-020b-11ea-a389-0242ac130002,Dampache Phalca,SUN4011,दम्पाछेँ फल्चा || SUN4011,Dampāchẽ Phalcā 
0c6b269c-e676-11e9-8bc4-0242ac130002,Manimandapa,LAL1361,मणिमण्डप || LAL1361,"Maṇimaṇḍapa, North (renovated 1701 CE)"
0cb251ee-3005-42d3-bc37-fe6cfbb30747,Iche Sikharkuta Caitya ,KIR0072,इछेँ शिखरकूट चैत्य ll KIR0072,Ichẽ Śikharakūṭa Caitya (built in 1698 CE)
